start_point_id,minIndex,minDistSquare
323,2.0,0.00223832485683
324,2.0,0.00225924917854
325,1.0,0.00262690310663
326,2.0,0.00182746131538
327,2.0,0.00250006549974
328,1.0,0.00319809432965
329,2.0,0.00275440922117
330,1.0,0.00248028655226
331,1.0,0.0338234767633
332,2.0,0.00145046933882
333,1.0,0.00249877721005
334,1.0,0.00336778760991
335,2.0,0.00195662239937
336,2.0,0.00211791905425
337,2.0,0.0028744189925
338,1.0,0.00361440734773
339,1.0,0.00245850750655
340,2.0,0.00256958040438
341,2.0,0.00162327819899
342,2.0,0.00190060109454
343,2.0,0.00289011944685
344,1.0,0.00990355958433
345,1.0,0.00388854161547
346,1.0,0.00327562870901
347,1.0,0.00187980716059
348,2.0,0.00198814664652
349,2.0,0.00242081014077
350,2.0,0.00270676446081
351,2.0,0.00200556170193
352,1.0,0.00931398554747
353,2.0,0.00166986712154
354,2.0,0.00191153271863
355,2.0,0.00228745922073
356,1.0,0.00307309444461
357,1.0,0.00299721083079
358,1.0,0.0037567433608
359,1.0,0.00271839269654
360,2.0,0.00201818712683
361,1.0,0.00592625735402
362,1.0,0.00292026072376
363,2.0,0.00237542005531
364,2.0,0.00295637273285
365,2.0,0.00278219308242
366,1.0,0.00367630900336
367,1.0,0.00347173186153
368,2.0,0.0120520836008
369,2.0,0.00199622752109
370,2.0,0.00306188399397
371,2.0,0.00206620379102
372,2.0,0.00282321441862
373,2.0,0.00201923858569
374,2.0,0.00321288781168
375,1.0,0.00296223963343
376,1.0,0.00134286374084
377,2.0,0.00218041082972
378,1.0,0.00204807366238
379,2.0,0.00197592321899
380,1.0,0.00289361914746
381,1.0,0.00466025684294
382,1.0,0.00219107068822
383,2.0,0.00194567409562
384,2.0,0.00148329653543
385,1.0,0.00660529185612
386,2.0,0.00197689609027
387,1.0,0.00268572445822
388,1.0,0.00326898559247
389,2.0,0.00221232024825
390,2.0,0.00150049488089
391,1.0,0.00212703027322
392,2.0,0.00253929342701
393,1.0,0.00445080701108
394,1.0,0.00271421590768
395,2.0,0.00126714380801
396,2.0,0.00272811662574
397,1.0,0.00251458518761
398,1.0,0.0022898680118
399,2.0,0.00281442364823
400,1.0,0.00310461499931
